"os","arch","r","stanli","run","elapsed_seconds"
"Linux","x86_64","4.6.1","0.14.0",1,0.236
"Linux","x86_64","4.6.1","0.14.0",2,0.235
"Linux","x86_64","4.6.1","0.14.0",3,0.236
