"os","arch","r","stanli","run","elapsed_seconds"
"Windows","x86_64","4.6.1","0.14.0",1,0.3
"Windows","x86_64","4.6.1","0.14.0",2,0.28
"Windows","x86_64","4.6.1","0.14.0",3,0.28
