model,gcc_gradient_us_median,gcc_gradient_us_mad,clang_gradient_us_median,clang_gradient_us_mad,clang_over_gcc_time_median,clang_over_gcc_time_mad,gcc_prep_ms_median,gcc_prep_ms_mad,clang_prep_ms_median,clang_prep_ms_mad,gcc_peak_rss_kib_median,gcc_peak_rss_kib_mad,clang_peak_rss_kib_median,clang_peak_rss_kib_mad,timed_point_max_ulp_between_compilers
normal_mixture,101.16415201612902,0.10918245967742404,118.48877675189395,0.21288812407440127,1.1730492723461539,0.0039158261200265,7.124581500000001,0.04921299999999977,7.145516,0.10323949999999993,13372.0,72.0,11306.0,64.0,0
eight_schools_noncentered,0.3680590673239834,0.0008546406648417246,0.3517892301712913,0.0009458576273612494,0.9582656072853653,0.002388996830501089,0.538251,0.007921999999999997,0.590384,0.007672000000000017,10784.0,20.0,8530.0,142.0,0
garch11,13.546885102370691,0.06836613685344946,12.288054711915981,0.36478513756165737,0.9090326498745613,0.017609257732634997,4.451394500000001,0.03033599999999973,4.4186915,0.07870399999999975,11922.0,18.0,9826.0,90.0,0
logistic_regression_rhs,95.32343445121951,0.4784136987250604,94.78137200164295,0.9366712143548284,0.9895603048992456,0.013758720424920323,14.656032,0.20439849999999948,14.7921655,0.04804099999999867,21864.0,60.0,19512.0,120.0,0
sw_asymlaplace,6.458008956409205,0.06381160142554518,6.6520659436392195,0.06443069566588293,1.0297132139835719,0.008761646689720792,2.6570485,0.01691050000000014,2.688717,0.031055000000000103,12296.0,98.0,9852.0,128.0,0
s2_zi_asymlaplace,7.183533227339892,0.04126375311544007,7.2822073797678275,0.045507622153987085,1.010829439622658,0.011266614448621981,4.671557,0.028584499999999638,6.4250490000000005,0.026254999999999768,12950.0,58.0,10636.0,38.0,0
s2_gev,13.171207552921787,0.05024640569024359,13.405781039430858,0.12900207945013972,1.0163824674513648,0.009973232244551822,1.449417,0.009384999999999883,1.484097,0.004094999999999967,12624.0,24.0,10258.0,48.0,0
