model,before_prepare_ms_median,before_prepare_ms_MAD,before_first_gradient_us_median,before_first_gradient_us_MAD,before_warm_ns_median,before_warm_ns_MAD,before_peak_rss_mib_median,before_peak_rss_mib_MAD,after_prepare_ms_median,after_prepare_ms_MAD,after_first_gradient_us_median,after_first_gradient_us_MAD,after_warm_ns_median,after_warm_ns_MAD,after_peak_rss_mib_median,after_peak_rss_mib_MAD,before_CLI_ms_median,before_CLI_ms_MAD,after_CLI_ms_median,after_CLI_ms_MAD,cmdstan_CLI_ms_median,cmdstan_CLI_ms_MAD,cmdstan_over_after_CLI,CLI_ratio_paired_median,CLI_ratio_paired_MAD,lp_max_ULP,grad_max_ULP,outputs_max_ULP
s2_gev,0.926396,0.017228999999999994,134.9375,6.3125,6553.243137846057,59.41808253954514,6.4296875,0.0078125,0.9946875,0.051646000000000025,137.667,6.5,5589.025758928571,36.66589539653478,6.4375,0.0234375,125.57695849999905,2.826979000001728,109.1587504999998,4.668375499999655,91.49143750000022,2.5801039999988618,0.8381502818686111,0.8058150773731945,0.02158309424787508,0,0,0
sw_asymlaplace,1.6913955,0.09797999999999996,21.25,1.5410000000000004,4603.821247451429,164.10211058685036,6.78125,0.0234375,1.7407914999999998,0.02458300000000002,19.1665,1.0619999999999994,4316.724190619761,132.3280176732419,6.75,0.0,146.21685399999996,6.480146000000133,131.97735449999982,3.6371249999998554,110.59731299999999,6.624917000000117,0.8380021968086967,0.8092958896872886,0.02162089718597765,1,1,0
s2_zi_asymlaplace,4.174938,0.05997999999999992,22.729,3.478999999999999,5060.229758902102,141.71545609085615,7.3515625,0.0234375,4.199500499999999,0.03722949999999914,21.521,2.125,4777.890227533671,70.76916566398086,7.34375,0.0,172.9107085000001,6.590146000000402,170.13489600000042,5.720124499999372,146.79172950000032,5.030000000000086,0.8627961279618965,0.8679957130588787,0.05869280035909086,1,4,0
sw_gaussian,0.5949585,0.02120850000000002,16.1455,1.2705000000000002,354.9932645994387,13.234095545502527,5.421875,0.0078125,0.5832919999999999,0.032458499999999946,15.2915,1.25,349.9558308281495,7.041695055111433,5.328125,0.0078125,20.599458500000445,0.5137915000004156,20.612875000000308,0.6464170000004543,22.92156249999966,0.7243544999999685,1.112002207358232,1.116768247281132,0.01330954151733732,0,0,0
sw_bernoulli,0.5131255,0.01650050000000003,12.833,0.6455000000000002,451.681484322591,15.455137923915657,5.203125,0.0078125,0.5091455,0.037833499999999964,12.479,1.3330000000000002,462.62481396690214,15.25460633048175,5.1015625,0.0078125,19.43877099999991,0.6367295000000439,19.484166499998956,0.7433334999982222,22.44997900000012,0.9357079999992024,1.1522165446492834,1.1180811057297513,0.013327809196659879,0,0,0
eight_schools_noncentered,0.42245849999999996,0.009396000000000043,8.979,0.4169999999999998,229.50423868193883,5.72215374669581,4.84375,0.015625,0.41981250000000003,0.01741650000000003,10.8335,1.8330000000000002,230.15988365689614,3.992725710889175,4.7421875,0.0078125,23.388041499999623,1.5670835000003436,23.149062500000817,1.4081249999993162,32.960166500000554,2.9235210000013723,1.4238229517933778,1.4175486235791863,0.007724823374418599,,,
sw_cratio,14.654499999999999,0.7680829999999998,75.25,3.2920000000000016,61693.38793176366,1474.0333727512407,15.2734375,0.0390625,14.771021,0.7708124999999999,74.5835,3.8755000000000024,60613.513444767435,1468.0846212003707,15.4375,0.046875,,,,,,,,,,0,0,0
sw_cumulative_cs,49.202292,2.304000000000002,85.083,5.0625,62120.04922067026,2163.2811749353314,14.859375,0.0625,47.6412915,0.7858750000000008,87.771,5.8125,62689.19842102965,1351.724185602452,14.9921875,0.0625,,,,,,,,,,0,0,0
