phi,upstream_glm,upstream_non_glm,integer_identity
2,-79.150558957055708,-79.15055895705575,-79.150558957055665
10000,-59.842903329525143,-59.842903329098448,-59.842903329099016
100000000,-59.836959838867188,-59.836904728949207,-59.836904728949037
1000000000000,-60.25,-59.836904129009355,-59.836904129009071
10000000000000000,6144,-59.836904128948213,-59.836904128949087
1e+22,17179869184,-59.836904128948163,-59.836904128949058
1e+100,-3.1828687130226345e+88,-59.836904128947026,-59.836904128949058
