file,model,code_box,status,numeric_error,cli_speedup,first_fit_speedup,stanli_median_s,stanli_min_s,stanli_max_s,cmdstan_median_s,cmdstan_min_s,cmdstan_max_s,cmdstan_compile_s,stanli_first_fit_s,cmdstan_first_fit_s,stanli_rhat_max,cmdstan_rhat_max,stanli_ess_bulk_min,cmdstan_ess_bulk_min,stanli_divergences,cmdstan_divergences,failure_reason,log_density_max_absolute,log_density_max_ulp,log_density_count,gradient_max_absolute,gradient_max_ulp,gradient_count,outputs_max_absolute,outputs_max_ulp,outputs_count
ch09_m9_1,m9.1,9.14,ok,8.88e-16,1.8194418111873747,106.47211009372447,0.029396916499962344,0.025712290999990728,0.031818666999981815,0.053485979000015504,0.046487415999990844,0.25231991700002254,3.0764657510000006,0.029396916499962344,3.129951730000016,1.0016336535747963,1.000976217362203,3972.139495047345,4737.291020055303,0,0,,0,0,3,2.842170943040401e-14,8,15,0,0,15
ch09_m9_1_chains4,m9.1,9.16,ok,8.88e-16,1.8417697253310177,106.22733386604483,0.029328562500012367,0.028059750000011263,0.03134370899999794,0.05401645850000136,0.05080458300000146,0.2575936659999911,3.061478541999975,0.029328562500012367,3.115495000499976,1.0016336535747963,1.000976217362203,3972.139495047345,4737.291020055303,0,0,,0,0,3,2.842170943040401e-14,8,15,0,0,15
ch09_m9_2,m9.2,9.22,ok,0.0,1.4111865725736574,149.72945420386506,0.016898249999997006,0.015921333999983744,0.017520917000013014,0.023846583499988583,0.02161720899999864,0.22215383299999303,2.5063191660000257,0.016898249999997006,2.5301657495000143,1.0785325102360561,1.1327762472860756,61.58607751022589,20.861329655268122,400,352,,0,0,3,0,0,6,0,0,6
ch09_m9_3,m9.3,9.24,ok,0.0,1.347481074046466,187.52254735166665,0.01347435400001018,0.01187525000000278,0.017354415999989214,0.018156437000016012,0.01539720800002442,0.19970104100002573,2.508588749000012,0.01347435400001018,2.526745186000028,1.007199724505813,1.0017646176243693,988.5153296542205,1127.7464347306186,0,0,,0,0,3,0,0,6,0,0,6
ch09_m9_4,m9.4,9.26,ok,0.0,1.4462440096767102,4.042511634828619,0.9773633539999764,0.9687579160000155,0.9838304169999788,1.4135058960000038,1.384351874999993,1.548715833000017,2.5374968340000237,0.9773633539999764,3.9510027300000274,2.391261321594597,1.6364890806297465,4.914221124139866,6.52092376771719,0,0,,0,0,3,0,0,9,0,0,9
ch09_m9_5,m9.5,9.27,ok,0.0,1.409617090878374,11.32879617830978,0.259085666499999,0.2568202500000325,0.27373816699997633,0.36521158350001315,0.34620195799999465,0.569617959000027,2.5699171250000177,0.259085666499999,2.935128708500031,1.0051242295182266,1.0059031541113521,816.2297467546522,869.1461250426032,0,0,,0,0,3,0,0,9,0,0,9
ch09_mp,mp,9.28,ok,0.0,3.119259820768532,110.59635763581583,0.021535270499981607,0.014070041999957539,0.024457374999997228,0.06717410399997448,0.020267457999977978,0.23235445799997478,2.314548374000026,0.021535270499981607,2.3817224780000004,1.0098479899422739,1.0081404569312906,697.4065912536788,704.5949431929401,0,0,,0,0,3,0,0,6,0,0,6
ch09_m5_8s,m5.8s,9.29,ok,7.23e-16,2.8907542330829585,5.222618013115126,1.2220506045000121,1.2010507500000074,1.2378249169999833,3.5326479579999983,3.4400013750000085,3.6648990840000124,2.8496555419999936,1.2220506045000121,6.382303499999992,1.0022899523595683,1.0031699725260363,1380.8888883377376,1581.368068960386,0,0,,0,0,3,2.7284841053187847e-12,5,12,0,0,12
ch09_m5_8s2,m5.8s2,9.30,ok,5.36e-16,3.011418695574468,6.322226037780376,0.8614161254999999,0.3077617499999974,1.179503875000023,2.594084625000022,1.2354290839999749,3.3221394170000167,2.8519828329999655,0.8614161254999999,5.4460674579999875,1.6229179775017113,1.475043932060035,6.684723454366544,7.835140437179166,444,404,,0,0,3,1.3642420526593924e-12,3,12,0,0,12
ch11_m11_4,m11.4,11.11,ok,1.7e-15,1.8070822146084946,15.224173485936179,0.2254061459999832,0.21947237499995254,0.23156095799998866,0.4073274375000153,0.4022264170000085,0.6366568750000283,3.0242948339999884,0.2254061459999832,3.4316222715000038,1.003399433548055,1.0018067485629765,1242.8534535414337,1270.5843524705913,0,0,,0,0,3,3.197442310920451e-14,12,33,0,0,3057
