model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
radon_variable_intercept_slope_centered	777	0.041431	57659			3.0	352938	25.96	""
radon_variable_intercept_slope_noncentered	777	0.042427	58602			3.3	358167	47.01	""
radon_variable_slope_centered	390	0.038565	51460			2.9	341040	19.34	""
radon_variable_slope_noncentered	390	0.037916	51831			3.1	343768	39.86	""
rats_model	65	0.000987	1044			2.9	4368	0.53	""
seeds_centered_model	26	0.000407	701			3.7	1301	0.33	""
seeds_model	26	0.000434	681			3.5	994	0.31	""
seeds_stanified_model	26	0.000378	681			3.5	993	0.31	""
sesame_one_pred_a	3	0.000335	816			2.7	1442	0.27	""
sir						4.9		38.04	stanli_eval_fail,cmdstan_grad_fail
soil_incubation	6	0.000820	28007			3.7	55209	13.37	""
state_space_stochastic_level_stochastic_seasonal	389	0.002159	6239			4.6	18357	37.46	""
surgical_model	14	0.000308	442			3.2	567	0.27	""
wells_daae_c_model	6	0.001637	19348			3.2	19894	0.64	""
wells_dae_c_model	5	0.001583	17578			3.2	18294	0.58	""
wells_dae_inter_model	7	0.001668	19602			3.2	20176	0.54	""
wells_dae_model	4	0.001533	18669			3.1	19358	0.75	""
wells_dist	2	0.001416	21085			2.9	30838	1.21	""
wells_dist100_model	2	0.001456	15564			3.0	16559	0.45	""
wells_dist100ars_model	3	0.001486	17139			3.0	17935	0.61	""
wells_interaction_c_model	4	0.001536	18701			3.1	19340	0.48	""
wells_interaction_model	4	0.001530	18723			3.1	19458	0.92	""
