model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
radon_county	389	0.006209	34568	2.01	51074	3.0	79100	4.46	""
radon_county_intercept	388	0.035517	49555	3.56	65778	2.8	423960	26.98	""
radon_hierarchical_intercept_centered	391	0.056125	65618	5.67	81364	3.1	563946	43.24	""
radon_hierarchical_intercept_noncentered	391	0.056775	65807	7.56	107160	3.3	569958	56.04	""
radon_partially_pooled_centered	389	0.028079	34599	2.07	52343	2.9	275255	14.25	""
radon_partially_pooled_noncentered	389	0.028700	34570	2.81	68759	3.1	272083	24.11	""
radon_pooled	3	0.005537	43745	0.51	10972	2.6	321613	3.79	""
radon_variable_intercept_centered	390	0.036525	49766	3.01	54869	2.9	426043	23.12	""
radon_variable_intercept_noncentered	390	0.035901	50234	4.61	82981	3.1	432185	33.70	""
radon_variable_intercept_slope_centered	777	0.040542	57602	4.57	69763	3.1	434004	25.98	""
radon_variable_intercept_slope_noncentered	777	0.041102	58610	8.48	127813	3.3	444145	58.29	""
radon_variable_slope_centered	390	0.035701	51313	3.11	55199	2.9	423835	23.55	""
radon_variable_slope_noncentered	390	0.036153	51731	6.58	117417	3.1	425500	48.89	""
rats_model	65	0.000985	1026	0.14	64357	3.0	4974	0.54	""
seeds_centered_model	26	0.000412	705	0.07	37654	3.7	1472	0.33	""
seeds_model	26	0.000410	687	0.08	43990	3.5	1229	0.34	""
seeds_stanified_model	26	0.000388	679	0.07	41819	3.4	1199	0.34	""
sesame_one_pred_a	3	0.000342	820	0.03	15718	2.7	1926	0.29	""
sir						3.9		39.36	stanli_eval_fail,cmdstan_grad_fail
soil_incubation	6	0.000846	30783	6.30	224671	3.3	58876	13.00	""
state_space_stochastic_level_stochastic_seasonal	389	0.002022	6418	10.02	1094296	4.6	19648	40.25	""
surgical_model	14	0.000322	448	0.04	21564	3.3	575	0.29	""
wells_daae_c_model	6	0.001661	19174	0.42	20352	3.2	20019	0.64	""
wells_dae_c_model	5	0.001600	17520	0.35	18267	3.2	18332	0.61	""
wells_dae_inter_model	7	0.001688	19546	0.32	14841	3.2	20202	0.57	""
wells_dae_model	4	0.001544	18734	0.55	27676	3.1	19365	0.78	""
wells_dist	2	0.001423	21099	0.65	29414	2.8	38603	1.47	""
wells_dist100_model	2	0.001465	15947	0.25	14347	3.0	16643	0.48	""
wells_dist100ars_model	3	0.001497	17280	0.39	21531	3.0	17914	0.65	""
wells_interaction_c_model	4	0.001557	18831	0.26	12367	3.2	19711	0.51	""
wells_interaction_model	4	0.001529	18787	0.69	34766	3.1	19505	0.94	""
